At least,But less than,Single,Married filing jointly,Married filing separately,Head of a house hold
0,50,0,0,0,0
50,100,1,1,1,1
100,150,2,2,2,2
150,200,2,2,2,2
200,250,3,3,3,3
250,300,4,4,4,4
300,350,5,5,5,5
350,400,5,5,5,5
400,450,6,6,6,6
450,500,7,7,7,7
500,550,7,7,7,7
550,600,8,8,8,8
600,650,9,9,9,9
650,700,9,9,9,9
700,750,10,10,10,10
750,800,11,11,11,11
800,850,12,12,12,12
850,900,12,12,12,12
900,950,13,13,13,13
950,1000,14,14,14,14
1000,1050,14,14,14,14
1050,1100,15,15,15,15
1100,1150,16,16,16,16
1150,1200,16,16,16,16
1200,1250,17,17,17,17
1250,1300,18,18,18,18
1300,1350,19,19,19,19
1350,1400,19,19,19,19
1400,1450,20,20,20,20
1450,1500,21,21,21,21
1500,1550,21,21,21,21
1550,1600,22,22,22,22
1600,1650,23,23,23,23
1650,1700,23,23,23,23
1700,1750,24,24,24,24
1750,1800,25,25,25,25
1800,1850,26,26,26,26
1850,1900,26,26,26,26
1900,1950,27,27,27,27
1950,2000,28,28,28,28
2000,2050,28,28,28,28
2050,2100,29,29,29,29
2100,2150,30,30,30,30
2150,2200,30,30,30,30
2200,2250,31,31,31,31
2250,2300,32,32,32,32
2300,2350,33,33,33,33
2350,2400,33,33,33,33
2400,2450,34,34,34,34
2450,2500,35,35,35,35
2500,2550,35,35,35,35
2550,2600,36,36,36,36
2600,2650,37,37,37,37
2650,2700,37,37,37,37
2700,2750,38,38,38,38
2750,2800,39,39,39,39
2800,2850,40,40,40,40
2850,2900,40,40,40,40
2900,2950,41,41,41,41
2950,3000,42,42,42,42
3000,3050,42,42,42,42
3050,3100,43,43,43,43
3100,3150,44,44,44,44
3150,3200,44,44,44,44
3200,3250,45,45,45,45
3250,3300,46,46,46,46
3300,3350,47,47,47,47
3350,3400,47,47,47,47
3400,3450,48,48,48,48
3450,3500,49,49,49,49
3500,3550,49,49,49,49
3550,3600,50,50,50,50
3600,3650,51,51,51,51
3650,3700,51,51,51,51
3700,3750,52,52,52,52
3750,3800,53,53,53,53
3800,3850,54,54,54,54
3850,3900,54,54,54,54
3900,3950,55,55,55,55
3950,4000,56,56,56,56
4000,4050,56,56,56,56
4050,4100,57,57,57,57
4100,4150,58,58,58,58
4150,4200,58,58,58,58
4200,4250,59,59,59,59
4250,4300,60,60,60,60
4300,4350,61,61,61,61
4350,4400,61,61,61,61
4400,4450,62,62,62,62
4450,4500,63,63,63,63
4500,4550,63,63,63,63
4550,4600,64,64,64,64
4600,4650,65,65,65,65
4650,4700,65,65,65,65
4700,4750,66,66,66,66
4750,4800,67,67,67,67
4800,4850,68,68,68,68
4850,4900,68,68,68,68
4900,4950,69,69,69,69
4950,5000,70,70,70,70
5000,5050,70,70,70,70
5050,5100,71,71,71,71
5100,5150,72,72,72,72
5150,5200,72,72,72,72
5200,5250,73,73,73,73
5250,5300,74,74,74,74
5300,5350,75,75,75,75
5350,5400,75,75,75,75
5400,5450,76,76,76,76
5450,5500,77,77,77,77
5500,5550,77,77,77,77
5550,5600,78,78,78,78
5600,5650,79,79,79,79
5650,5700,79,79,79,79
5700,5750,80,80,80,80
5750,5800,81,81,81,81
5800,5850,82,82,82,82
5850,5900,82,82,82,82
5900,5950,83,83,83,83
5950,6000,84,84,84,84
6000,6050,84,84,84,84
6050,6100,85,85,85,85
6100,6150,86,86,86,86
6150,6200,86,86,86,86
6200,6250,87,87,87,87
6250,6300,88,88,88,88
6300,6350,89,89,89,89
6350,6400,89,89,89,89
6400,6450,90,90,90,90
6450,6500,91,91,91,91
6500,6550,91,91,91,91
6550,6600,92,92,92,92
6600,6650,93,93,93,93
6650,6700,93,93,93,93
6700,6750,94,94,94,94
6750,6800,95,95,95,95
6800,6850,96,96,96,96
6850,6900,96,96,96,96
6900,6950,97,97,97,97
6950,7000,98,98,98,98
7000,7050,98,98,98,98
7050,7100,99,99,99,99
7100,7150,100,100,100,100
7150,7200,100,100,100,100
7200,7250,101,101,101,101
7250,7300,102,102,102,102
7300,7350,103,103,103,103
7350,7400,103,103,103,103
7400,7450,104,104,104,104
7450,7500,105,105,105,105
7500,7550,105,105,105,105
7550,7600,106,106,106,106
7600,7650,107,107,107,107
7650,7700,107,107,107,107
7700,7750,108,108,108,108
7750,7800,109,109,109,109
7800,7850,110,110,110,110
7850,7900,110,110,110,110
7900,7950,111,111,111,111
7950,8000,112,112,112,112
8000,8050,112,112,112,112
8050,8100,113,113,113,113
8100,8150,114,114,114,114
8150,8200,114,114,114,114
8200,8250,115,115,115,115
8250,8300,116,116,116,116
8300,8350,117,117,117,117
8350,8400,117,117,117,117
8400,8450,118,118,118,118
8450,8500,119,119,119,119
8500,8550,119,119,119,119
8550,8600,120,120,120,120
8600,8650,121,121,121,121
8650,8700,121,121,121,121
8700,8750,122,122,122,122
8750,8800,123,123,123,123
8800,8850,124,124,124,124
8850,8900,124,124,124,124
8900,8950,125,125,125,125
8950,9000,126,126,126,126
9000,9050,126,126,126,126
9050,9100,127,127,127,127
9100,9150,128,128,128,128
9150,9200,128,128,128,128
9200,9250,129,129,129,129
9250,9300,130,130,130,130
9300,9350,131,131,131,131
9350,9400,131,131,131,131
9400,9450,132,132,132,132
9450,9500,133,133,133,133
9500,9550,133,133,133,133
9550,9600,134,134,134,134
9600,9650,135,135,135,135
9650,9700,135,135,135,135
9700,9750,136,136,136,136
9750,9800,137,137,137,137
9800,9850,138,138,138,138
9850,9900,138,138,138,138
9900,9950,139,139,139,139
9950,10000,140,140,140,140
10000,10050,140,140,140,140
10050,10100,141,141,141,141
10100,10150,142,142,142,142
10150,10200,142,142,142,142
10200,10250,143,143,143,143
10250,10300,144,144,144,144
10300,10350,145,145,145,145
10350,10400,145,145,145,145
10400,10450,146,146,146,146
10450,10500,147,147,147,147
10500,10550,147,147,147,147
10550,10600,148,148,148,148
10600,10650,149,149,149,149
10650,10700,149,149,149,149
10700,10750,150,150,150,150
10750,10800,151,151,151,151
10800,10850,152,152,152,152
10850,10900,152,152,152,152
10900,10950,153,153,153,153
10950,11000,154,154,154,154
11000,11050,154,154,154,154
11050,11100,155,155,155,155
11100,11150,156,156,156,156
11150,11200,156,156,156,156
11200,11250,157,157,157,157
11250,11300,158,158,158,158
11300,11350,159,159,159,159
11350,11400,159,159,159,159
11400,11450,160,160,160,160
11450,11500,161,161,161,161
11500,11550,161,161,161,161
11550,11600,162,162,162,162
11600,11650,163,163,163,163
11650,11700,163,163,163,163
11700,11750,164,164,164,164
11750,11800,165,165,165,165
11800,11850,166,166,166,166
11850,11900,166,166,166,166
11900,11950,167,167,167,167
11950,12000,168,168,168,168
12000,12050,168,168,168,168
12050,12100,169,169,169,169
12100,12150,170,170,170,170
12150,12200,170,170,170,170
12200,12250,171,171,171,171
12250,12300,172,172,172,172
12300,12350,173,173,173,173
12350,12400,173,173,173,173
12400,12450,174,174,174,174
12450,12500,175,175,175,175
12500,12550,175,175,175,175
12550,12600,176,176,176,176
12600,12650,177,177,177,177
12650,12700,177,177,177,177
12700,12750,178,178,178,178
12750,12800,179,179,179,179
12800,12850,180,180,180,180
12850,12900,180,180,180,180
12900,12950,181,181,181,181
12950,13000,182,182,182,182
13000,13050,182,182,182,182
13050,13100,183,183,183,183
13100,13150,184,184,184,184
13150,13200,184,184,184,184
13200,13250,185,185,185,185
13250,13300,186,186,186,186
13300,13350,187,187,187,187
13350,13400,187,187,187,187
13400,13450,188,188,188,188
13450,13500,189,189,189,189
13500,13550,189,189,189,189
13550,13600,190,190,190,190
13600,13650,191,191,191,191
13650,13700,191,191,191,191
13700,13750,192,192,192,192
13750,13800,193,193,193,193
13800,13850,194,194,194,194
13850,13900,194,194,194,194
13900,13950,195,195,195,195
13950,14000,196,196,196,196
14000,14050,196,196,196,196
14050,14100,197,197,197,197
14100,14150,198,198,198,198
14150,14200,198,198,198,198
14200,14250,199,199,199,199
14250,14300,200,200,200,200
14300,14350,201,201,201,201
14350,14400,201,201,201,201
14400,14450,202,202,202,202
14450,14500,203,203,203,203
14500,14550,203,203,203,203
14550,14600,204,204,204,204
14600,14650,205,205,205,205
14650,14700,205,205,205,205
14700,14750,206,206,206,206
14750,14800,207,207,207,207
14800,14850,208,208,208,208
14850,14900,208,208,208,208
14900,14950,209,209,209,209
14950,15000,210,210,210,210
15000,15050,210,210,210,210
15050,15100,211,211,211,211
15100,15150,212,212,212,212
15150,15200,212,212,212,212
15200,15250,213,213,213,213
15250,15300,214,214,214,214
15300,15350,215,215,215,215
15350,15400,215,215,215,215
15400,15450,216,216,216,216
15450,15500,217,217,217,217
15500,15550,217,217,217,217
15550,15600,218,218,218,218
15600,15650,219,219,219,219
15650,15700,219,219,219,219
15700,15750,220,220,220,220
15750,15800,221,221,221,221
15800,15850,222,222,222,222
15850,15900,222,222,222,222
15900,15950,223,223,223,223
15950,16000,224,224,224,224
16000,16050,224,224,224,224
16050,16100,225,225,225,225
16100,16150,226,226,226,226
16150,16200,226,226,226,226
16200,16250,227,227,227,227
16250,16300,228,228,228,228
16300,16350,229,229,229,229
16350,16400,229,229,229,229
16400,16450,230,230,230,230
16450,16500,231,231,231,231
16500,16550,231,231,231,231
16550,16600,232,232,232,232
16600,16650,233,233,233,233
16650,16700,233,233,233,233
16700,16750,234,234,234,234
16750,16800,235,235,235,235
16800,16850,236,236,236,236
16850,16900,236,236,236,236
16900,16950,237,237,237,237
16950,17000,238,238,238,238
17000,17050,238,238,238,238
17050,17100,239,239,239,239
17100,17150,240,240,240,240
17150,17200,240,240,240,240
17200,17250,241,241,241,241
17250,17300,242,242,242,242
17300,17350,243,243,243,243
17350,17400,243,243,243,243
17400,17450,244,244,244,244
17450,17500,245,245,245,245
17500,17550,245,245,245,245
17550,17600,246,246,246,246
17600,17650,247,247,247,247
17650,17700,247,247,247,247
17700,17750,248,248,248,248
17750,17800,249,249,249,249
17800,17850,250,250,250,250
17850,17900,250,250,250,250
17900,17950,251,251,251,251
17950,18000,252,252,252,252
18000,18050,252,252,252,252
18050,18100,253,253,253,253
18100,18150,254,254,254,254
18150,18200,254,254,254,254
18200,18250,255,255,255,255
18250,18300,256,256,256,256
18300,18350,257,257,257,257
18350,18400,257,257,257,257
18400,18450,258,258,258,258
18450,18500,259,259,259,259
18500,18550,259,259,259,259
18550,18600,260,260,260,260
18600,18650,261,261,261,261
18650,18700,261,261,261,261
18700,18750,262,262,262,262
18750,18800,263,263,263,263
18800,18850,264,264,264,264
18850,18900,264,264,264,264
18900,18950,265,265,265,265
18950,19000,266,266,266,266
19000,19050,266,266,266,266
19050,19100,267,267,267,267
19100,19150,268,268,268,268
19150,19200,268,268,268,268
19200,19250,269,269,269,269
19250,19300,270,270,270,270
19300,19350,271,271,271,271
19350,19400,271,271,271,271
19400,19450,272,272,272,272
19450,19500,273,273,273,273
19500,19550,273,273,273,273
19550,19600,274,274,274,274
19600,19650,275,275,275,275
19650,19700,275,275,275,275
19700,19750,276,276,276,276
19750,19800,277,277,277,277
19800,19850,278,278,278,278
19850,19900,278,278,278,278
19900,19950,279,279,279,279
19950,20000,280,280,280,280
20000,20050,280,280,280,280
20050,20100,281,281,281,281
20100,20150,282,282,282,282
20150,20200,283,283,283,283
20200,20250,284,284,284,284
20250,20300,285,285,285,285
20300,20350,286,286,286,286
20350,20400,287,287,287,287
20400,20450,287,287,287,287
20450,20500,288,288,288,288
20500,20550,289,289,289,289
20550,20600,290,290,290,290
20600,20650,291,291,291,291
20650,20700,292,292,292,292
20700,20750,293,293,293,293
20750,20800,294,294,294,294
20800,20850,294,294,294,294
20850,20900,295,295,295,295
20900,20950,296,296,296,296
20950,21000,297,297,297,297
21000,21050,298,298,298,298
21050,21100,299,299,299,299
21100,21150,300,300,300,300
21150,21200,301,301,301,301
21200,21250,301,301,301,301
21250,21300,302,302,302,302
21300,21350,303,303,303,303
21350,21400,304,304,304,304
21400,21450,305,305,305,305
21450,21500,306,306,306,306
21500,21550,307,307,307,307
21550,21600,308,308,308,308
21600,21650,308,308,308,308
21650,21700,309,309,309,309
21700,21750,310,310,310,310
21750,21800,311,311,311,311
21800,21850,312,312,312,312
21850,21900,313,313,313,313
21900,21950,314,314,314,314
21950,22000,315,315,315,315
22000,22050,315,315,315,315
22050,22100,316,316,316,316
22100,22150,317,317,317,317
22150,22200,318,318,318,318
